city,state_id,state_name
Aaronsburg,PA,Pennsylvania
Abanda,AL,Alabama
Abbeville,LA,Louisiana
Abbotsford,WI,Wisconsin
Abbott,TX,Texas
Abbottstown,PA,Pennsylvania
Abbs Valley,VA,Virginia
Abbyville,KS,Kansas
Abercrombie,ND,North Dakota
Aberdeen Gardens,WA,Washington
Aberdeen Proving Ground,MD,Maryland
Abernathy,TX,Texas
Abeytas,NM,New Mexico
Abie,NE,Nebraska
Abilene,TX,Texas
Abingdon,VA,Virginia
Abington,IN,Indiana
Abiquiu,NM,New Mexico
Abita Springs,LA,Louisiana
Abney Crossroads,SC,South Carolina
Abram,TX,Texas
Abrams,WI,Wisconsin
Absarokee,MT,Montana
Absecon,NJ,New Jersey
Absecon Highlands,NJ,New Jersey
Acacia Villas,FL,Florida
Acala,TX,Texas
Acalanes Ridge,CA,California
Acampo,CA,California
Accident,MD,Maryland
Accokeek,MD,Maryland
Accomac,VA,Virginia
Accord,NY,New York
Accoville,WV,West Virginia
Aceitunas,PR,Puerto Rico
Acequia,ID,Idaho
Achille,OK,Oklahoma
Ackerly,TX,Texas
Ackerman,MS,Mississippi
Ackermanville,PA,Pennsylvania
Ackley,IA,Iowa
Ackworth,IA,Iowa
Acme,WA,Washington
Acomita Lake,NM,New Mexico
Acorn,AR,Arkansas
Acres Green,CO,Colorado
Acton,CA,California
Acushnet Center,MA,Massachusetts
Acworth,GA,Georgia
Ada,OK,Oklahoma
Adair,IA,Iowa
Adair Village,OR,Oregon
Adairsville,GA,Georgia
Adairville,KY,Kentucky
Adak,AK,Alaska
Adams,WI,Wisconsin
Adams Center,NY,New York
Adams Lake,IN,Indiana
Adams Run,SC,South Carolina
Adamsburg,PA,Pennsylvania
Adamson,OK,Oklahoma
Adamstown,PA,Pennsylvania
Adamsville,AL,Alabama
Addieville,IL,Illinois
Addington,OK,Oklahoma
Addis,LA,Louisiana
Addison,TX,Texas
Addy,WA,Washington
Addyston,OH,Ohio
Adel,IA,Iowa
Adelanto,CA,California
Adeline,IL,Illinois
Adelino,NM,New Mexico
Adell,WI,Wisconsin
Adelphi,MD,Maryland
Adena,OH,Ohio
Adin,CA,California
Adjuntas,PR,Puerto Rico
Admire,KS,Kansas
Adona,AR,Arkansas
Adrian,MI,Michigan
Advance,NC,North Carolina
Adwolf,VA,Virginia
Aetna Estates,CO,Colorado
Affton,MO,Missouri
Afton,MN,Minnesota
Agar,SD,South Dakota
Agency,MO,Missouri
Agency Village,SD,South Dakota
Agenda,KS,Kansas
Ages,KY,Kentucky
Agnew,NE,Nebraska
Agoura Hills,CA,California
Agra,KS,Kansas
Agricola,MS,Mississippi
Agua Dulce,CA,California
Agua Fria,NM,New Mexico
Aguada,PR,Puerto Rico
Aguadilla,PR,Puerto Rico
Aguanga,CA,California
Aguas Buenas,PR,Puerto Rico
Aguas Claras,PR,Puerto Rico
Aguila,AZ,Arizona
Aguilar,CO,Colorado
Aguilares,TX,Texas
Aguilita,PR,Puerto Rico
Ahmeek,MI,Michigan
Ahoskie,NC,North Carolina
Ahtanum,WA,Washington
Ahuimanu,HI,Hawaii
Ahwahnee,CA,California
Ai,OH,Ohio
Aibonito,PR,Puerto Rico
Aiea,HI,Hawaii
Aiken,SC,South Carolina
Ailey,GA,Georgia
Ainaloa,HI,Hawaii
Ainsworth,NE,Nebraska
Air Force Academy,CO,Colorado
Airmont,NY,New York
Airport,CA,California
Airport Drive,MO,Missouri
Airport Heights,TX,Texas
Airport Road Addition,TX,Texas
Airway Heights,WA,Washington
Aitkin,MN,Minnesota
Ajo,AZ,Arizona
Ak Chin,AZ,Arizona
Akaska,SD,South Dakota
Ak-Chin Village,AZ,Arizona
Akeley,MN,Minnesota
Akhiok,AK,Alaska
Akiachak,AK,Alaska
Akiak,AK,Alaska
Akins,OK,Oklahoma
Akron,OH,Ohio
Akutan,AK,Alaska
Akwesasne,NY,New York
Alabaster,AL,Alabama
Alachua,FL,Florida
Alafaya,FL,Florida
Alakanuk,AK,Alaska
Alamance,NC,North Carolina
Alameda,CA,California
Alamillo,NM,New Mexico
Alamo,TX,Texas
Alamo Beach,TX,Texas
Alamo Heights,TX,Texas
Alamo Lake,AZ,Arizona
Alamogordo,NM,New Mexico
Alamosa,CO,Colorado
Alamosa East,CO,Colorado
Alanreed,TX,Texas
Alanson,MI,Michigan
Alapaha,GA,Georgia
Alatna,AK,Alaska
Alba,MO,Missouri
Albany,NY,New York
Albee,SD,South Dakota
Albemarle,NC,North Carolina
Albers,IL,Illinois
Albert,KS,Kansas
Albert City,IA,Iowa
Albert Lea,MN,Minnesota
Alberta,VA,Virginia
Alberton,MT,Montana
Albertson,NY,New York
Albertville,AL,Alabama
Albia,IA,Iowa
Albin,WY,Wyoming
Albion,MI,Michigan
Albright,WV,West Virginia
Albrightsville,PA,Pennsylvania
Albuquerque,NM,New Mexico
Alburnett,IA,Iowa
Alburtis,PA,Pennsylvania
Alcalde,NM,New Mexico
Alcan Border,AK,Alaska
Alcester,SD,South Dakota
Alcoa,TN,Tennessee
Alcolu,SC,South Carolina
Alcorn State University,MS,Mississippi
Alcova,WY,Wyoming
Alda,NE,Nebraska
Aldan,PA,Pennsylvania
Alden,IA,Iowa
Alder,WA,Washington
Alderpoint,CA,California
Alderson,WV,West Virginia
Alderton,WA,Washington
Alderwood Manor,WA,Washington
Aldie,VA,Virginia
Aldine,TX,Texas
Aldora,GA,Georgia
Aldrich,MO,Missouri
Aledo,TX,Texas
Aleknagik,AK,Alaska
Aleneva,AK,Alaska
Alex,OK,Oklahoma
Alexander,AR,Arkansas
Alexander City,AL,Alabama
Alexandria,VA,Virginia
Alexandria Bay,NY,New York
Alexis,IL,Illinois
Alfarata,PA,Pennsylvania
Alford,FL,Florida
Alfordsville,IN,Indiana
Alfred,TX,Texas
Alger,OH,Ohio
Algiers,VT,Vermont
Algodones,NM,New Mexico
Algoma,WI,Wisconsin
Algona,IA,Iowa
Algonac,MI,Michigan
Algonquin,IL,Illinois
Algood,TN,Tennessee
Alhambra,CA,California
Alhambra Valley,CA,California
Ali Chuk,AZ,Arizona
Ali Chukson,AZ,Arizona
Ali Molina,AZ,Arizona
Alianza,PR,Puerto Rico
Alice,TX,Texas
Alice Acres,TX,Texas
Aliceville,AL,Alabama
Alicia,AR,Arkansas
Aline,OK,Oklahoma
Aliquippa,PA,Pennsylvania
Aliso Viejo,CA,California
Alix,AR,Arkansas
Allakaket,AK,Alaska
Allardt,TN,Tennessee
Alleene,AR,Arkansas
Allegan,MI,Michigan
Alleghany,CA,California
Alleghenyville,PA,Pennsylvania
Alleman,IA,Iowa
Allen,TX,Texas
Allen Park,MI,Michigan
Allendale,MI,Michigan
Allenhurst,GA,Georgia
Allenport,PA,Pennsylvania
Allens Grove,WI,Wisconsin
Allenspark,CO,Colorado
Allensville,PA,Pennsylvania
Allensworth,CA,California
Allenton,WI,Wisconsin
Allentown,PA,Pennsylvania
Allenville,IL,Illinois
Allenwood,NJ,New Jersey
Allerton,IA,Iowa
Allgood,AL,Alabama
Alliance,OH,Ohio
Alligator,MS,Mississippi
Allison,IA,Iowa
Allison Gap,VA,Virginia
Allison Park,PA,Pennsylvania
Allisonia,VA,Virginia
Allouez,WI,Wisconsin
Allport,PA,Pennsylvania
Allyn,WA,Washington
Alma,MI,Michigan
Alma Center,WI,Wisconsin
Almanor,CA,California
Almedia,PA,Pennsylvania
Almena,WI,Wisconsin
Almira,WA,Washington
Almond,WI,Wisconsin
Almont,MI,Michigan
Almyra,AR,Arkansas
Aloha,OR,Oregon
Alondra Park,CA,California
Alpaugh,CA,California
Alpena,MI,Michigan
Alpha,NJ,New Jersey
Alpharetta,GA,Georgia
Alpine,CA,California
Alpine Northeast,WY,Wyoming
Alpine Northwest,WY,Wyoming
Alpine Village,CA,California
Alsace Manor,PA,Pennsylvania
Alsea,OR,Oregon
Alsen,ND,North Dakota
Alsey,IL,Illinois
Alsip,IL,Illinois
Alston,GA,Georgia
Alta,IA,Iowa
Alta Sierra,CA,California
Alta Vista,KS,Kansas
Altadena,CA,California
Altamahaw,NC,North Carolina
Altamont,OR,Oregon
Altamonte Springs,FL,Florida
Altavista,VA,Virginia
Altenburg,MO,Missouri
Altha,FL,Florida
Altheimer,AR,Arkansas
Altmar,NY,New York
Alto,GA,Georgia
Alto Bonito Heights,TX,Texas
Alto Pass,IL,Illinois
Alton,IL,Illinois
Altona,IL,Illinois
Altoona,PA,Pennsylvania
Altura,MN,Minnesota
Alturas,FL,Florida
Altus,OK,Oklahoma
Alum Creek,WV,West Virginia
Alum Rock,CA,California
Alva,OK,Oklahoma
Alvan,IL,Illinois
Alvarado,TX,Texas
Alverda,PA,Pennsylvania
Alvin,TX,Texas
Alvo,NE,Nebraska
Alvord,TX,Texas
Alvordton,OH,Ohio
Alzada,MT,Montana
Ama,LA,Louisiana
Amada Acres,TX,Texas
Amado,AZ,Arizona
Amador City,CA,California
Amador Pines,CA,California
Amagansett,NY,New York
Amagon,AR,Arkansas
Amalga,UT,Utah
Amana,IA,Iowa
Amanda,OH,Ohio
Amanda Park,WA,Washington
Amargosa,TX,Texas
Amargosa Valley,NV,Nevada
Amarillo,TX,Texas
Amasa,MI,Michigan
Amaya,TX,Texas
Amazonia,MO,Missouri
Amber,OK,Oklahoma
Amberg,WI,Wisconsin
Amberley,OH,Ohio
Ambia,IN,Indiana
Ambler,PA,Pennsylvania
Amboy,IL,Illinois
Ambridge,PA,Pennsylvania
Ambrose,GA,Georgia
Amelia,OH,Ohio
Amelia Court House,VA,Virginia
Amenia,ND,North Dakota
American Canyon,CA,California
American Falls,ID,Idaho
American Fork,UT,Utah
Americus,GA,Georgia
Amery,WI,Wisconsin
Ames,IA,Iowa
Ames Lake,WA,Washington
Amesti,CA,California
Amesville,OH,Ohio
Amherst,OH,Ohio
Amherst Junction,WI,Wisconsin
Amherstdale,WV,West Virginia
Amidon,ND,North Dakota
Amistad,TX,Texas
Amite City,LA,Louisiana
Amity,OR,Oregon
Amity Gardens,PA,Pennsylvania
Amityville,NY,New York
Ammon,ID,Idaho
Amo,IN,Indiana
Amonate,VA,Virginia
Amoret,MO,Missouri
Amorita,OK,Oklahoma
Amory,MS,Mississippi
Ampere North,NJ,New Jersey
Anacoco,LA,Louisiana
Anaconda,MT,Montana
Anacortes,WA,Washington
Anacua,TX,Texas
Anadarko,OK,Oklahoma
Anaheim,CA,California
Anahola,HI,Hawaii
Anahuac,TX,Texas
Anaktuvuk Pass,AK,Alaska
Anamoose,ND,North Dakota
Anamosa,IA,Iowa
Anatone,WA,Washington
Anawalt,WV,West Virginia
Anchor,IL,Illinois
Anchor Bay,CA,California
Anchor Point,AK,Alaska
Anchorage,AK,Alaska
Ancient Oaks,PA,Pennsylvania
Andale,KS,Kansas
Andalusia,AL,Alabama
Anderson,IN,Indiana
Anderson Creek,NC,North Carolina
Anderson Island,WA,Washington
Andersonville,OH,Ohio
Andover,MN,Minnesota
Andres,IL,Illinois
Andrew,IA,Iowa
Andrews,TX,Texas
Andrews AFB,MD,Maryland
Anegam,AZ,Arizona
Aneta,ND,North Dakota
Aneth,UT,Utah
Angel Fire,NM,New Mexico
Angelica,WI,Wisconsin
Angels,CA,California
Angie,LA,Louisiana
Angier,NC,North Carolina
Angle Inlet,MN,Minnesota
Angleton,TX,Texas
Angola,IN,Indiana
Angola on the Lake,NY,New York
Angoon,AK,Alaska
Angostura,SD,South Dakota
Anguilla,MS,Mississippi
Angus,TX,Texas
Angustura,NM,New Mexico
Angwin,CA,California
Aniak,AK,Alaska
Animas,PR,Puerto Rico
Anita,IA,Iowa
Aniwa,WI,Wisconsin
Ankeny,IA,Iowa
Anmoore,WV,West Virginia
Ann Arbor,MI,Michigan
Anna,TX,Texas
Anna Maria,FL,Florida
Annabella,UT,Utah
Annada,MO,Missouri
Annandale,VA,Virginia
Annapolis,MD,Maryland
Annapolis Neck,MD,Maryland
Annawan,IL,Illinois
Annetta,TX,Texas
Annetta North,TX,Texas
Annetta South,TX,Texas
Annex,OR,Oregon
Anniston,AL,Alabama
Annona,TX,Texas
Annville,KY,Kentucky
Anoka,MN,Minnesota
Anon Raices,PR,Puerto Rico
Anselmo,NE,Nebraska
Ansley,NE,Nebraska
Anson,TX,Texas
Ansonia,CT,Connecticut
Ansonville,NC,North Carolina
Ansted,WV,West Virginia
Antón Ruíz,PR,Puerto Rico
Antares,AZ,Arizona
Antelope,CA,California
Antelope Hills,WY,Wyoming
Anthem,AZ,Arizona
Anthon,IA,Iowa
Anthony,NM,New Mexico
Anthonyville,AR,Arkansas
Anthoston,KY,Kentucky
Antietam,MD,Maryland
Antigo,WI,Wisconsin
Antimony,UT,Utah
Antioch,CA,California
Antler,ND,North Dakota
Antlers,OK,Oklahoma
Antoine,AR,Arkansas
Anton,TX,Texas
Anton Chico,NM,New Mexico
Antonito,CO,Colorado
Antreville,SC,South Carolina
Antwerp,OH,Ohio
Anvik,AK,Alaska
Anza,CA,California
Anzac Village,NM,New Mexico
Apache,OK,Oklahoma
Apache Creek,NM,New Mexico
Apache Junction,AZ,Arizona
Apalachicola,FL,Florida
Apalachin,NY,New York
Apex,NC,North Carolina
Apison,TN,Tennessee
Aplin,AR,Arkansas
Aplington,IA,Iowa
Apollo,PA,Pennsylvania
Apollo Beach,FL,Florida
Apopka,FL,Florida
Appalachia,VA,Virginia
Apple Canyon Lake,IL,Illinois
Apple Creek,OH,Ohio
Apple Grove,WV,West Virginia
Apple Mountain Lake,VA,Virginia
Apple River,IL,Illinois
Apple Valley,CA,California
Appleby,TX,Texas
Applegate,MI,Michigan
Appleton,WI,Wisconsin
Appleton City,MO,Missouri
Applewold,PA,Pennsylvania
Applewood,CO,Colorado
Appling,GA,Georgia
Appomattox,VA,Virginia
Aptos,CA,California
